Region,Country,Fipscd,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
North America,Bermuda,BD,3.8,3.3,3.5,3.7,3.6,3.52,3.33,4.69,5.13,6.24,4.43,3.93,3.19,3.63,3.62,3.61,3.66,3.67,3.67,3.67,3.66,3.63,3.67,3.98,4.25,4.4,4.57,NA
North America,Canada,CA,1873,1768,1578,1448,1520,1526,1531,1607,1681,1754,1733,1673,1720,1746,1767,1811.04,1864.32,1952.27,1942.96,2027.36,2026.67,2056.84,2078.35,2207.15,2299.67,2296.86,2264.26,2342.87
North America,Greenland,GL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.36,3.4,3.4,3.44,3.53,3.58,3.58,3.65,3.77,3.81,3.83,3.86,3.88,3.93,NA
North America,Mexico,MX,1270,1399,1476,1350,1395,1476,1523,1576,1598,1715,1754,1830,1855,1836,1934,1818.58,1788.54,1854.05,1948.64,1957.44,2036.36,2008.69,1949.76,1948.58,1995.92,2045.19,1996.68,2045.69
North America,Saint Pierre and Miquelon,SB,1,1,0.9,1,1,0.9,1.13,1.43,1.49,1.7,1.67,1.59,1.5,0.82,0.86,0.58,0.58,0.39,0.46,0.46,0.5,0.46,0.46,0.5,0.54,0.55,0.56,NA
North America,United States,US,17056,16058,15296,15231,15725.61,15726.42,16280.63,16665.05,17283.31,17325.15,16988.5,16713.84,17032.86,17236.73,17718.16,17724.59,18308.9,18620.3,18917.15,19519.34,19701.08,19648.71,19761.3,20033.5,20731.15,20802.16,20687.42,20697.54
North America,North America,r1,20203.8,19229.3,18354.4,18033.7,18645.21,18732.85,19339.08,19854.16,20568.93,20802.1,20481.6,20222.35,20615.8,20826.54,21427.04,21361.79,21969.44,22434.21,22816.45,23511.84,23771.93,23722.1,23797.35,24197.55,25035.41,25153.04,24957.41,NA
Central & South America,"Virgin Islands,  U.S.",VQ,117,105,75.8,54,63,70.52,46.79,54.79,39.33,59.98,54.96,55.55,55.37,53.45,55.85,56.57,56.9,58.26,60.3,62.44,66.08,91.7,93.24,108.78,110.9,98,100.52,91.68
Central & South America,Saint Vincent/Grenadines,VC,0.27,0.25,0.27,0.27,0.25,0.29,0.29,0.32,0.38,0.56,0.59,0.56,0.6,0.56,0.89,0.94,0.94,1.01,1.19,1.19,1.21,1.23,1.31,1.38,1.47,1.5,1.57,NA
Central & South America,Venezuela,VE,400,433,427,400,379,383.24,401.56,404.41,396.93,387.65,395.59,405,413.81,426.95,440.28,448.47,443.81,454.57,456.76,461.21,499.71,544.47,570.67,540.64,552.85,598,620.13,NA
Central & South America,Puerto Rico,RQ,200,219,158.8,152,167,144.58,155.52,161.79,147.46,143.07,140.16,175.61,155.58,162.16,165.37,169.07,174.87,179.25,183.54,189.14,201.35,213.86,212.05,217.81,222.76,230,235.73,214.99
